Inferno Cruise Missile,805,204,"An Amarr creation with powerful capabilities, the Inferno cruise missile was for a long time confined solely to the Amarr armed forces, but exports began some years ago and the missile is now found throughout the universe.",6000,6000,6000,4500
Nova Cruise Missile,806,205,A very basic missile for large launchers with reasonable payload. Utilizes the now substandard technology of bulls-eye guidance systems.,6000,6000,6000,4500
Nova Heavy Missile,807,206,"The be-all and end-all of medium-sized missiles, the Nova heavy missile is a must for those who want a guaranteed kill no matter the cost.",6000,6000,6000,4500
Mjolnir Heavy Missile,808,207,"First introduced by the armaments lab of the Wiyrkomi Corporation, the Mjolnir heavy missile is a solid investment with a large payload and steady performance.",6000,6000,6000,4500
Inferno Heavy Missile,809,208,"Originally designed as a 'finisher' - the killing blow to a crippled ship - the Inferno heavy missile has since gone through various technological upgrades. The latest version has a lighter payload than the original, but much improved guidance systems.",6000,6000,6000,4500
Scourge Heavy Missile,810,209,The Scourge heavy missile is an old relic from the Caldari-Gallente War that is still in widespread use because of its low price and versatility.,6000,6000,6000,4500
Scourge Light Missile,811,210,"From its humble beginnings in tiny Minmatar design labs, the Scourge light missile has quickly established itself throughout the star cluster as a premier missile for light launchers.",6000,6000,6000,4500
Inferno Light Missile,812,211,The explosion the Inferno light missile creates upon impact is stunning enough for any display of fireworks - just ten times more deadly.,6000,6000,6000,4500
Mjolnir Light Missile,813,212,"An advanced missile with a volatile payload of magnetized plasma, the Mjolnir light missile is specifically engineered to take down shield systems.",6000,6000,6000,4500
Nova Light Missile,814,213,The Nova light missile is a tiny nuclear projectile based on a classic Minmatar design that has been in use since the early days of the Minmatar Resistance.,6000,6000,6000,4500
Iron Charge S,1130,215,"Consists of two components: a shell of titanium and a core of iron atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

60% increased optimal range.
30% decreased capacitor need.",6000,6000,6000,4500
Tungsten Charge S,1131,216,"Consists of two components: a shell of titanium and a core of tungsten atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

40% increased optimal range.
27% reduced capacitor need.",6000,6000,6000,4500
Iridium Charge S,1132,217,"Consists of two components: a shell of titanium and a core of iridium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

20% increased optimal range.
24% reduced capacitor need.",6000,6000,6000,4500
Lead Charge S,1133,218,"Consists of two components: a shell of titanium and a core of lead atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

50% reduced capacitor need.",6000,6000,6000,4500
Thorium Charge S,1134,219,"Consists of two components: a shell of titanium and a core of thorium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

12.5% reduced optimal range.
40% reduced capacitor need.",6000,6000,6000,4500
Uranium Charge S,1135,220,"Consists of two components: a shell of titanium and a core of uranium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

25% reduced optimal range.
8% reduced capacitor need.",6000,6000,6000,4500
Plutonium Charge S,1136,221,"Consists of two components: a shell of titanium and a core of plutonium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

37.5% reduced optimal range.
5% reduced capacitor need.",6000,6000,6000,4500
Antimatter Charge S,1137,222,"Consists of two components: a shell of titanium and a core of antimatter atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

50% reduced optimal range.",6000,6000,6000,4500
Iron Charge M,1138,223,"Consists of two components: a shell of titanium and a core of iron atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

60% increased optimal range.
30% decreased capacitor need.",6000,6000,6000,4500
Tungsten Charge M,1139,224,"Consists of two components: a shell of titanium and a core of tungsten atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

40% increased optimal range.
27% reduced capacitor need.",6000,6000,6000,4500
Iridium Charge M,1140,225,"Consists of two components: a shell of titanium and a core of iridium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

20% increased optimal range.
24% reduced capacitor need.",6000,6000,6000,4500
Lead Charge M,1141,226,"Consists of two components: a shell of titanium and a core of lead atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

50% reduced capacitor need.",6000,6000,6000,4500
Thorium Charge M,1142,227,"Consists of two components: a shell of titanium and a core of thorium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

12.5% reduced optimal range.
40% reduced capacitor need.",6000,6000,6000,4500
Uranium Charge M,1143,228,"Consists of two components: a shell of titanium and a core of uranium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

25% reduced optimal range.
8% reduced capacitor need.",6000,6000,6000,4500
Plutonium Charge M,1144,229,"Consists of two components: a shell of titanium and a core of plutonium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

37.5% reduced optimal range.
5% reduced capacitor need.",6000,6000,6000,4500
Antimatter Charge M,1145,230,"Consists of two components: a shell of titanium and a core of antimatter atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

50% reduced optimal range.",6000,6000,6000,4500
Iron Charge L,1146,231,"Consists of two components: a shell of titanium and a core of iron atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

60% increased optimal range.
30% decreased capacitor need.",6000,6000,6000,4500
Tungsten Charge L,1147,232,"Consists of two components: a shell of titanium and a core of tungsten atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

40% increased optimal range.
27% reduced capacitor need.",6000,6000,6000,4500
Iridium Charge L,1148,233,"Consists of two components: a shell of titanium and a core of iridium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

20% increased optimal range.
24% reduced capacitor need.",6000,6000,6000,4500
Lead Charge L,1149,234,"Consists of two components: a shell of titanium and a core of lead atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

50% reduced capacitor need.",6000,6000,6000,4500
Thorium Charge L,1150,235,"Consists of two components: a shell of titanium and a core of thorium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

12.5% reduced optimal range.
40% reduced capacitor need.",6000,6000,6000,4500
Uranium Charge L,1151,236,"Consists of two components: a shell of titanium and a core of uranium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

25% reduced optimal range.
8% reduced capacitor need.",6000,6000,6000,4500
Plutonium Charge L,1152,237,"Consists of two components: a shell of titanium and a core of plutonium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

37.5% reduced optimal range.
5% reduced capacitor need.",6000,6000,6000,4500
Antimatter Charge L,1153,238,"Consists of two components: a shell of titanium and a core of antimatter atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.

50% reduced optimal range.",6000,6000,6000,4500
Radio S,1154,239,"Modulates the beam of a laser weapon into the radio frequencies. Offers greatly improved range but significantly lower damage.

With longer range, EM damage increases although the overall damage output is decreased.

60% increased optimal range.
15% reduced capacitor need.",6000,6000,6000,4500
Microwave S,1155,240,Modulates the beam of a laser weapon into the microwave frequencies. Improved range. Increased EM damage.

40% increased optimal range.
25% reduced capacitor need.,6000,6000,6000,4500
Infrared S,1156,241,Modulates the beam of a laser weapon into the infrared frequencies. Slightly improved range. Slightly increased EM damage.

20% increased optimal range.
35% reduced capacitor need.,6000,6000,6000,4500
Standard S,1157,242,Modulates the beam of a laser weapon into the visible light spectrum. 

45% reduced capacitor need.,6000,6000,6000,4500
Ultraviolet S,1158,243,Modulates the beam of a laser weapon into the ultraviolet frequencies. Slightly reduced range. Slightly increased thermal damage.

12.5% reduced optimal range.
35% reduced capacitor need.,6000,6000,6000,4500
Xray S,1159,244,Modulates the beam of a laser weapon into the xray frequencies. Reduced range. Increased thermal damage.

25% reduced optimal range.
25% reduced capacitor need.,6000,6000,6000,4500
Gamma S,1160,245,Modulates the beam of a laser weapon into the gamma frequencies. Greatly reduced range. Greatly increased thermal damage.

37.5% reduced optimal range.
15% reduced capacitor need.,6000,6000,6000,4500
Multifrequency S,1161,246,"Randomly cycles the laser through the entire spectrum. The greatly increased damage comes at the cost of a significant reduction in range.

With shorter range, Thermal damage increases and the overall damage output is increased.

50% reduced optimal range.",6000,6000,6000,4500
Radio M,1162,247,"Modulates the beam of a laser weapon into the radio frequencies. Offers greatly improved range but significantly lower damage.

With longer range, EM damage increases although the overall damage output is decreased.

60% increased optimal range.
15% reduced capacitor need.",6000,6000,6000,4500
Microwave M,1163,248,Modulates the beam of a laser weapon into the microwave frequencies. Improved range.

40% increased optimal range.
25% reduced capacitor need.,6000,6000,6000,4500
Infrared M,1164,249,Modulates the beam of a laser weapon into the infrared frequencies. Slightly improved range.

20% increased optimal range.
35% reduced capacitor need.,6000,6000,6000,4500
Standard M,1165,250,Modulates the beam of a laser weapon into the visible light spectrum.

45% reduced capacitor need.,6000,6000,6000,4500
Ultraviolet M,1166,251,Modulates the beam of a laser weapon into the ultraviolet frequencies. Slightly reduced range. Slightly increased damage.

12.5% reduced optimal range.
35% reduced capacitor need.,6000,6000,6000,4500
Xray M,1167,252,Modulates the beam of a laser weapon into the xray frequencies. Reduced range. Increased damage.

25% reduced optimal range.
25% reduced capacitor need.,6000,6000,6000,4500
Gamma M,1168,253,Modulates the beam of a laser weapon into the gamma frequencies. Greatly reduced range. Greatly increased damage.

37.5% reduced optimal range.
15% reduced capacitor need.,6000,6000,6000,4500
Multifrequency M,1169,254,"Randomly cycles the laser through the entire spectrum. The greatly increased damage comes at the cost of a significant reduction in range.

With shorter range, Thermal damage increases and the overall damage output is increased.

50% reduced optimal range.",6000,6000,6000,4500
Radio L,1170,255,"Modulates the beam of a laser weapon into the radio frequencies. Offers greatly improved range but significantly lower damage.

With longer range, EM damage increases although the overall damage output is decreased.

60% increased optimal range.
15% reduced capacitor need.",6000,6000,6000,4500
Microwave L,1171,256,Modulates the beam of a laser weapon into the microwave frequencies. Improved range.

40% increased optimal range.
25% reduced capacitor need.,6000,6000,6000,4500
Infrared L,1172,257,Modulates the beam of a laser weapon into the infrared frequencies. Slightly improved range.

20% increased optimal range.
35% reduced capacitor need.,6000,6000,6000,4500
Standard L,1173,258,Modulates the beam of a laser weapon into the visible light spectrum. 

45% reduced capacitor need.,6000,6000,6000,4500
Ultraviolet L,1174,259,Modulates the beam of a laser weapon into the ultraviolet frequencies. Slightly reduced range. Slightly increased damage.

12.5% reduced optimal range.
35% reduced capacitor need.,6000,6000,6000,4500
Xray L,1175,260,Modulates the beam of a laser weapon into the xray frequencies. Reduced range. Increased damage.

25% reduced optimal range.
25% reduced capacitor need.,6000,6000,6000,4500
Gamma L,1176,261,Modulates the beam of a laser weapon into the gamma frequencies. Greatly reduced range. Greatly increased damage.

37.5% reduced optimal range.
15% reduced capacitor need.,6000,6000,6000,4500
Multifrequency L,1177,262,"Randomly cycles the laser through the entire spectrum. The greatly increased damage comes at the cost of a significant reduction in range.

With shorter range, Thermal damage increases and the overall damage output is increased.

50% reduced optimal range.",6000,6000,6000,4500
Cap Booster 25,1178,263,Provides a quick injection of power into your capacitor. Good for tight situations!,2400,2400,2400,24000
Cap Booster 50,1179,264,Provides a quick injection of power into your capacitor. Good for tight situations!,2400,2400,2400,24000
Heavy Defender Missile I,1215,265,Defensive missile used to destroy incoming missiles.

Note: This missile fits into heavy missile launchers.,6000,6000,6000,4500
Scourge Rocket,1220,266,A small rocket with a piercing warhead.,6000,6000,6000,4500
Scourge Torpedo,1221,267,"An ultra-heavy piercing missile. While it is a slow projectile, its sheer damage potential is simply staggering.",6000,6000,6000,4500
Mjolnir Auto-Targeting Light Missile I,1216,269,An Amarr light missile with an EMP warhead and automatic guidance system.,6000,6000,6000,4500
Small Shield Extender I,1010,377,Increases the maximum strength of the shield.,12000,12000,12000,9000
Small Shield Extender II,1013,380,Increases the maximum strength of the shield.,18000,18000,300000,45000
Shield Recharger I,1026,393,Improves the recharge rate of the shield.,12000,12000,12000,9000
Shield Recharger II,1027,394,Improves the recharge rate of the shield.,15000,10000,250000,37500
Small Shield Booster I,1032,399,Expends energy to provide a quick boost in shield strength.,12000,12000,12000,9000
Small Shield Booster II,1033,400,Expends energy to provide a quick boost in shield strength.,21000,14000,350000,52500
1MN Microwarpdrive I,1067,434,"Massive boost to speed for a very short time. The thrust that boosts the ship, and the corresponding maximum velocity bonus, are limited by the mass of the ship that uses this module. The sheer amount of energy needed to power this system means that it must permanently reserve a fraction of the capacitor output just to maintain the integrity of its warp containment field, and when activated it substantially increases the ship's EM footprint.

Penalty: Max capacitor reduced.

Note: Frigate class module",12000,12000,12000,9000
1MN Afterburner II,1071,438,"Gives a boost to the maximum velocity of the ship when activated. The thrust that boosts the ship, and the corresponding maximum velocity bonus, are limited by the mass of the ship that uses this module.

Note: Frigate class module",30000,20000,500000,75000
1MN Afterburner I,1072,439,"Gives a boost to the maximum velocity of the ship when activated. The thrust that boosts the ship, and the corresponding maximum velocity bonus, are limited by the mass of the ship that uses this module.

Note: Frigate class module",12000,12000,12000,9000
1MN Microwarpdrive II,1073,440,"Massive boost to speed for a very short time. The thrust that boosts the ship, and the corresponding maximum velocity bonus, are limited by the mass of the ship that uses this module. The sheer amount of energy needed to power this system means that it must permanently reserve a fraction of the capacitor output just to maintain the integrity of its warp containment field, and when activated it substantially increases the ship's EM footprint.

Penalty: Max capacitor reduced.

Note: Frigate class module",120000,80000,1000000,150000
Cargo Scanner I,1074,442,Scans the cargo hold of another ship.,12000,12000,12000,9000
Ship Scanner I,1075,443,"Scans the target ship and provides a tactical analysis of its capabilities. The further it goes beyond scan range, the more inaccurate its results will be.",12000,12000,12000,9000
Survey Scanner I,1076,444,"Scans the composition of asteroids, ice and gas clouds.",12000,12000,12000,9000
Warp Scrambler I,1079,447,Disrupts the target ship's navigation computer which prevents it from warping or using a microwarpdrive.,12000,12000,12000,9000
Warp Scrambler II,1080,448,Disrupts the target ship's navigation computer which prevents it from warping or using a microwarpdrive.,90000,60000,1000000,150000
Gatling Pulse Laser I,834,450,"Rapid fire multi-barreled energy weapon that delivers a steady stream of damage. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Dual Light Pulse Laser I,835,451,"This light pulse laser uses two separate laser focusing systems to reduce the cool down period between shots. Good skirmish weapon. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Dual Light Beam Laser I,836,452,"This light beam laser uses two separate laser focusing systems to reduce the cool down period between shots. Good short to medium range weapon. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Small Focused Pulse Laser I,837,453,"A high-powered pulse laser. Good for short to medium range encounters. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Small Focused Beam Laser I,838,454,"A high-powered beam laser. Good for medium range encounters. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Quad Light Beam Laser I,839,455,"Uses four light laser focusing systems. Low powered, but makes up for it with a fast firing rate. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Focused Medium Pulse Laser I,840,456,"A high-energy, concentrated laser designed for short to medium range engagements. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Focused Medium Beam Laser I,841,457,"A high-energy, concentrated laser designed for medium range engagements. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Heavy Pulse Laser I,842,458,"A heavy laser designed for short to medium range engagements. Delivers powerful damage. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Heavy Beam Laser I,843,459,"A high-energy heavy laser designed for medium range engagements. Delivers powerful damage. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Dual Heavy Pulse Laser I,844,460,"This heavy pulse laser uses two separate laser focusing systems to reduce the cool down period between shots. A great weapon for medium to long range encounters. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Dual Heavy Beam Laser I,845,461,"This heavy beam laser uses two separate laser focusing systems to reduce the cool down period between shots. A great weapon for medium to long range encounters. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Mega Pulse Laser I,846,462,"A super-heavy pulse laser designed for medium range engagements. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Mega Beam Laser I,847,463,"A super-heavy beam laser designed for medium to long range engagements. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Tachyon Beam Laser I,848,464,"An ultra-heavy beam laser designed for medium to long range engagements. 

Requires frequency crystal ammo types: Gamma, Infrared, Microwave, Multifrequency, Radio, Standard, Ultraviolet, Xray.",12000,12000,12000,9000
Miner II,784,482,"Has an improved technology beam, making the extraction process more efficient. Useful for extracting all but the rarest ore.",36000,24000,600000,90000
Miner I,785,483,"Basic mining laser. Extracts common ore quickly, but has difficulty with the more rare types.",12000,12000,12000,9000
125mm Gatling AutoCannon I,819,484,"This multi-barrel autocannon is designed for skirmish warfare. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
150mm Light AutoCannon I,820,485,"A simple but effective close combat autocannon. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
200mm AutoCannon I,821,486,"A powerful autocannon that can smash apart most lightly armored frigates with ease. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
250mm Light Artillery Cannon I,822,487,"This artillery is one of the most powerful weapons that can be mounted on a frigate. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
280mm Howitzer Artillery I,823,488,"Rocket-assisted artillery projectiles designed for long-range combat. It is the most powerful projectile weapon able to be fitted onto frigates. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
Dual 180mm AutoCannon I,824,489,"This dual 180mm autocannon is a simple but effective close combat weapon. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
220mm Vulcan AutoCannon I,825,490,"The 220mm multi-barrel autocannon is designed for skirmish warfare. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
425mm AutoCannon I,826,491,"The 425mm is a behemoth that will inflict severe damage on most cruisers and frigates in short-range battles. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
650mm Artillery Cannon I,827,492,"A powerful long-range cannon. One of the most damaging weapons mountable on a cruiser. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
720mm Howitzer Artillery I,828,493,"This 720mm rocket-assisted howitzer is designed for long-range bombardment. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
Dual 425mm AutoCannon I,829,494,"Combines the damage output of two 425mm intermediate-range autocannons. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
Dual 650mm Repeating Cannon I,830,495,"Powerful, intermediate-range repeating autocannon with a decent rate of fire. 

Must be loaded with any of the following projectile ammo types: Carbonized Lead, Depleted Uranium, EMP, Fusion, Nuclear, Phased Plasma, Proton, or Titanium Sabot.",12000,12000,12000,9000
